,userid,construction_type,verb,pronoun1,preposition,pronoun2,post,tag,latitude,longitude
1028,4191547,it+pronominal_object,give,us,,ya,hottest,,54.97825200000001,-1.61778
1029,4912214,it+pronominal_object,dm,me,,u,,,50.718412,-3.533899
1030,6494275,it+pronominal_object,get,them,to,you,you,prepositional_dative,50.9097004,-1.4043508999999998
1031,6494275,it+pronominal_object,get,them,to,you,you,prepositional_dative,50.967182,-1.374688
1032,6494275,it+pronominal_object,get,them,to,you,you,prepositional_dative,50.967182,-1.374688
1033,17280,it+pronominal_object,mention,you,to,him,next,prepositional_dative,51.13237700000001,0.263695
1034,4011247,it+pronominal_object,show,us,,you,knicks,,51.70856067965517,-0.577447588988832
1035,4011247,it+pronominal_object,show,us,,you,knicks,,51.70856067965517,-0.577447588988832
1036,1353263,it+pronominal_object,give,them,to,us,us,prepositional_dative,51.8097823,-0.2376744
1037,394655,it+pronominal_object,feed,you,,them,with,,54.98487465139196,-1.571073062923918
1038,738303,it+pronominal_object,bring,her,to,you,so,prepositional_dative,51.068785,-1.794472
1039,6505777,it+pronominal_object,copy,me,,you,sick,,51.50378618328007,-0.189189593109732
1040,5870781,it+pronominal_object,give,them,to,u,when,prepositional_dative,51.454513,-2.58791
1041,1427275,it+pronominal_object,message,me,,you,,,52.486243,-1.890401
1042,1427275,it+pronominal_object,pay,me,,you,horny,,52.486243,-1.890401
1043,6298630,it+pronominal_object,show,me,,ya,,,53.00266800000001,-2.179404
1044,6017360,it+pronominal_object,give,me,,ya,mobile,,53.8566446555491,-2.1687605650979416
1045,1652383,it+pronominal_object,give,me,,them,all,,52.95478320000001,-1.1581086
1046,374956,it+pronominal_object,showing,her,,you,said,,53.34980529999999,-6.260309700000001
1047,6392710,it+pronominal_object,show,you,,her,when,,50.768035,0.29047199999999995
1048,6392710,it+pronominal_object,show,you,,her,when,,50.966414,0.095913
1049,1070616,it+pronominal_object,show,us,,ya,,,53.4807593,-2.2426305
1050,4471720,it+pronominal_object,give,him,to,me,then,prepositional_dative,52.15854456924406,-3.275226778946399
1051,4344826,it+pronominal_object,show,me,,you,don,,51.515973,-0.17494300000000002
1052,3560866,it+pronominal_object,given,me,,them,ehehhehe,,52.240477,-0.902656
1053,4301809,it+pronominal_object,post,them,to,you,you,prepositional_dative,55.864237,-4.251806
1054,709316,it+pronominal_object,lent,him,,you,cos,,53.381129,-1.470085
1055,3402772,it+pronominal_object,give,you,,them,after,,53.841963,-0.435093
1056,6326300,it+pronominal_object,mentioned,them,to,me,at,prepositional_dative,53.64579200000001,-1.7850351000000002
1057,2695791,it+pronominal_object,show,me,,him,then,,51.45252367906998,-0.9820300873965708
1058,2387843,it+pronominal_object,show,me,,them,now,,52.83650720000001,-6.9341358999999985
1059,1000628,it+pronominal_object,bring,them,to,me,me,prepositional_dative,51.48876418115082,-0.578516590238128
1060,2664824,it+pronominal_object,show,us,,ya,special,,53.31497665175186,-3.4109960593380766
1061,3278960,it+pronominal_object,got,me,,you,,,52.486243,-1.890401
1062,5588831,it+pronominal_object,get,him,to,me,in,prepositional_dative,56.46201800000001,-2.970721
1063,5350074,it+pronominal_object,driving,them,to,me,me,prepositional_dative,53.4875235,-2.2901264
1064,1269113,it+pronominal_object,show,us,,her,husband,,54.92103111183631,-7.866290521939138
1065,5094204,it+pronominal_object,showing,me,,you,miss,,51.38544518372361,-0.252753593305613
1066,1366273,it+pronominal_object,give,you,,them,for,,53.7676236,-0.3274198
1067,5834345,it+pronominal_object,introduce,you,to,him,sometime,prepositional_dative,53.5176476640032,-1.1393595744452978
1068,5051385,it+pronominal_object,tweet,me,,u,,,51.44621,0.216872
1069,3610167,it+pronominal_object,sell,them,to,me,me,prepositional_dative,53.4807593,-2.2426305
1070,5146439,it+pronominal_object,give,me,,them,allllllll,,55.864237,-4.251806
1071,4563426,it+pronominal_object,donate,them,to,me,for,prepositional_dative,53.26765015980494,-2.13549356864903
1072,179548,it+pronominal_object,send,them,to,you,in,prepositional_dative,53.40837140000001,-2.9915726
1073,6298966,it+pronominal_object,sending,them,to,you,you,prepositional_dative,52.9225301,-1.4746186
1074,2816337,it+pronominal_object,show,me,,you,guys,,53.34980529999999,-6.260309700000001
1075,1018888,it+pronominal_object,sent,us,,me,and,,52.570385,-1.824042
1076,2438367,it+pronominal_object,get,me,,her,dealers,,52.592257664633294,-2.106407072646853
1077,2557667,it+pronominal_object,recommended,them,to,us,punters,prepositional_dative,55.94319513486961,-3.203008046263737
1078,2392328,it+pronominal_object,show,her,,you,like,,50.9097004,-1.4043508999999998
1079,5143857,it+pronominal_object,show,me,,you,bout,,52.49396616659272,-1.890640074770749
1080,6394469,it+pronominal_object,show,you,,me,programme,,53.40837140000001,-2.9915726
1081,138501,it+pronominal_object,give,him,to,me,😭,prepositional_dative,53.763201,-2.70309
1082,1842113,it+pronominal_object,sold,them,to,me,-,prepositional_dative,52.0627394,-0.5292091
1083,1842113,it+pronominal_object,sold,them,to,me,-,prepositional_dative,52.0627394,-0.5292091
1084,4026918,it+pronominal_object,give,you,,her,halls,,51.4542645,-0.9781303
1085,439376,it+pronominal_object,bring,them,to,me,me,prepositional_dative,51.48648518628135,0.317777402913138
1086,439376,it+pronominal_object,bring,them,to,me,me,prepositional_dative,51.48648518628135,0.317777402913138
1087,4567140,it+pronominal_object,bringing,you,,them,new,,53.8007554,-1.5490774
1088,2832427,it+pronominal_object,sending,him,to,you,you,prepositional_dative,53.39330860000001,-2.1266343
1089,632787,it+pronominal_object,getting,you,,me,at,,51.34679566823346,-2.9451290734272404
1090,2252944,it+pronominal_object,sent,them,to,u,on,prepositional_dative,51.800475,-4.971319
1091,6408489,it+pronominal_object,give,him,to,me,me,prepositional_dative,51.5557739,-1.7797176
1092,1453314,it+pronominal_object,send,u,,her,number,,53.40837140000001,-2.9915726
1093,4776837,it+pronominal_object,send,me,,them,,,56.47695163274154,-2.955044544937377
1094,1334733,it+pronominal_object,show,me,,them,fucking,,52.486243,-1.890401
1095,1334733,it+pronominal_object,show,me,,them,fucking,,52.50911170000001,-1.8847828
1096,125106,it+pronominal_object,show,me,,you,could,,53.257282634773176,-6.174398040887319
1097,5082624,it+pronominal_object,send,you,,them,if,,54.58194115738321,-5.9306316035724365
1098,3434016,it+pronominal_object,show,us,,ya,teeth,,51.5742447,0.4856781
1099,1678828,it+pronominal_object,send,them,to,us,and,prepositional_dative,53.756629,-3.0213193
1100,190810,it+pronominal_object,dm,you,,me,number,,53.27503965569435,-2.809492563795343
1101,2744473,it+pronominal_object,given,me,,her,chest,,52.954641,0.8489270000000001
1102,1923439,it+pronominal_object,show,me,,them,and,,53.43556961202156,-1.821776804746382
1103,3262425,it+pronominal_object,expose,me,,you,,,50.999041,-0.106333
1104,377442,it+pronominal_object,get,him,,u,fucking,,51.0781599,-4.058338
1105,5987969,it+pronominal_object,send,me,,ya,paypal,,53.475303157088796,-2.349566065951336
1106,4786114,it+pronominal_object,get,them,to,you,you,prepositional_dative,52.52605616450897,-2.203868072308913
1107,2979365,it+pronominal_object,send,them,to,me,instead,prepositional_dative,51.141073,-0.4839850000000001
1108,2915546,it+pronominal_object,send,them,to,her,her,prepositional_dative,51.38544518372361,-0.252753593305613
1109,5031804,it+pronominal_object,give,me,,them,lives,,50.82253,-0.137163
1110,1103473,it+pronominal_object,give,you,,them,odds,,53.5450645,-2.6325074
1111,1432019,it+pronominal_object,show,them,,you,next,,53.4807593,-2.2426305
1112,5048978,it+pronominal_object,show,us,,ya,#freezie,,51.38544518372361,-0.252753593305613
1113,3464738,it+pronominal_object,show,me,,ya,boubles,,52.68160200000001,-1.831672
1114,4162475,it+pronominal_object,show,us,,ya,moves,,53.193392,-2.893075
1115,2157919,it+pronominal_object,posting,them,to,me,me,prepositional_dative,51.562254,0.218605
1116,5820513,it+pronominal_object,suggested,them,to,me,me,prepositional_dative,56.034908,-3.35056
1117,4428091,it+pronominal_object,show,us,,them,brand,,53.40837140000001,-2.9915726
1118,1558674,it+pronominal_object,sell,him,,me,the,,54.77943365241908,-1.634432063652664
1119,1296256,it+pronominal_object,show,us,,you,and,,52.5200852,-2.0752618000000003
1120,5852604,it+pronominal_object,send,them,to,me,me,prepositional_dative,51.895927,0.891874
1121,5852604,it+pronominal_object,send,them,to,me,me,prepositional_dative,51.895927,0.891874
1122,1109743,it+pronominal_object,send,them,to,me,and,prepositional_dative,51.3147593,-0.5599501
1123,3700306,it+pronominal_object,shown,me,,you,year,,52.486243,-1.890401
1124,3112607,it+pronominal_object,tweet,us,,you,song,,51.10914010000001,-0.1872275
1125,3112607,it+pronominal_object,tweet,us,,you,song,,51.10914010000001,-0.1872275
1126,2640581,it+pronominal_object,send,you,,them,,,52.58397972518678,-4.094747485979719
1127,1517217,it+pronominal_object,show,us,,ya,burger,,51.5819979,-0.1221464
1128,1517217,it+pronominal_object,show,us,,ya,burger,,51.5819979,-0.1221464
1129,6513459,it+pronominal_object,send,me,,them,pictures,,53.4807593,-2.2426305
1130,6513459,it+pronominal_object,send,me,,them,pictures,,53.4807593,-2.2426305
1131,5040498,it+pronominal_object,get,them,to,me,before,prepositional_dative,57.477773,-4.224721
1132,401505,it+pronominal_object,throw,them,,u,know,,51.3147593,-0.5599501
1133,401505,it+pronominal_object,throw,them,,u,know,,51.336036,-0.267382
1134,401505,it+pronominal_object,throw,them,,u,know,,51.41233,-0.300689
1135,6015258,it+pronominal_object,bring,him,to,me,me,prepositional_dative,51.4542645,-0.9781303
1136,4465176,it+pronominal_object,pass,them,to,you,but,prepositional_dative,53.87442215034192,-3.0079350590798413
1137,3700189,it+pronominal_object,showing,me,,her,new,,54.97825200000001,-1.61778
1138,1439168,it+pronominal_object,give,them,to,you,and,prepositional_dative,52.438397366181505,-1.368414241866979
1139,2504452,it+pronominal_object,give,me,,her,bod😩,,53.3900441,-2.5969501
1140,3778356,it+pronominal_object,post,them,to,you,(i,prepositional_dative,52.0406224,-0.7594171
1141,292231,it+pronominal_object,gives,us,,her,top,,51.454513,-2.58791
1142,4919378,it+pronominal_object,show,us,,ya,knickers,,52.486243,-1.890401
1143,4919378,it+pronominal_object,show,us,,ya,knickers,,52.486243,-1.890401
1144,6191312,it+pronominal_object,sell,you,,me,cousins,,52.64148268384246,1.2730819023563922
1145,5365781,it+pronominal_object,expose,me,,you,,,53.748575,-2.487529
1146,2659713,it+pronominal_object,show,her,,you,love,,51.5068832,-0.3033369
1147,5905729,it+pronominal_object,give,me,,him,https://t,,53.2735021332017,-6.39952053933045
1148,1812518,it+pronominal_object,lend,you,,me,fake,,51.39006268354518,-0.27846359308316804
1149,5381855,it+pronominal_object,sell,her,to,you,for,prepositional_dative,51.5073509,-0.12775830000000002
1150,4495415,it+pronominal_object,dm,me,,you,know,,51.45165618360951,-0.193719093375096
1151,2280496,it+pronominal_object,show,me,,them,cunts,,52.95478320000001,-1.1581086
1152,873759,it+pronominal_object,send,you,,them,nah,,53.612680664402774,-0.960896575202778
1153,6588622,it+pronominal_object,show,us,,ya,muscles,,51.5073509,-0.12775830000000002
1154,2299102,it+pronominal_object,lend,you,,her,one,,54.681115330004175,-1.548396532314626
1155,1622364,it+pronominal_object,show,them,to,me,http://t,prepositional_dative,53.8007554,-1.5490774
1156,5702338,it+pronominal_object,give,us,,ya,paw,,51.4933675,0.0098214
1157,694719,it+pronominal_object,sell,him,to,u,for,prepositional_dative,53.801955659532176,-1.565489569728704
1158,4758447,it+pronominal_object,show,us,,them,boot,,53.381129,-1.470085
1159,5959388,it+pronominal_object,compare,me,to,him,i,prepositional_dative,50.8197675,-1.0879769
1160,5153678,it+pronominal_object,give,me,,them,1d,,53.01939616140485,-2.154012069908965
1161,2022408,it+pronominal_object,tweet,them,to,us,w/,prepositional_dative,51.5073509,-0.12775830000000002
1162,6499295,it+pronominal_object,show,them,,you,really,,50.23119916203412,-5.239999562812987
1163,1855407,it+pronominal_object,show,you,,them,at,,50.9585656873176,-0.13260259667476498
1164,3252488,it+pronominal_object,give,them,to,me,pls,prepositional_dative,51.38544518372361,-0.252753593305613
1165,3253595,it+pronominal_object,send,us,,you,photos,,52.0406224,-0.7594171
1166,734904,it+pronominal_object,send,him,to,me,for,prepositional_dative,52.89416666199667,-2.199427070282762
1167,734904,it+pronominal_object,send,him,to,me,for,prepositional_dative,52.89416666199667,-2.199427070282762
1168,5997122,it+pronominal_object,give,me,,them,,,53.4807593,-2.2426305
1169,5228663,it+pronominal_object,showing,me,,her,sore,,53.34980529999999,-6.260309700000001
1170,5898013,it+pronominal_object,send,me,,you,email,,51.5073509,-0.12775830000000002
1171,3484487,it+pronominal_object,show,me,,ya,chode,,55.858302128951905,-4.241751039861819
1172,5806486,it+pronominal_object,send,them,to,you,when,prepositional_dative,50.82253,-0.137163
1173,4260096,it+pronominal_object,got,her,,you,down,,51.5073509,-0.12775830000000002
1174,4560278,it+pronominal_object,get,them,to,you,tomorrow,prepositional_dative,52.87449162513964,-8.054345030679077
1175,1486453,it+pronominal_object,show,you,,them,no,,51.619577162754574,-3.539167567643952
1176,2271703,it+pronominal_object,send,you,,them,all,,52.5801341644693,-2.1479645724127168
1177,5419422,it+pronominal_object,send,them,to,me,me,prepositional_dative,51.5073509,-0.12775830000000002
1178,5733594,it+pronominal_object,give,me,,her,dog,,53.24901269540546,-1.58818957019956
1179,725649,it+pronominal_object,shows,me,,you,have,,51.798623178559296,-0.660742587844962
1180,1493055,it+pronominal_object,send,me,,ya,,,53.40837140000001,-2.9915726
1181,6219165,it+pronominal_object,send,me,,you,recent,,51.46182332460946,-2.538942613507621
1182,4380299,it+pronominal_object,show,me,,you,,,51.454513,-2.58791
1183,1611177,it+pronominal_object,get,me,,them,points,,52.7073029,-2.7553268
1184,4745995,it+pronominal_object,send,them,to,you,when,prepositional_dative,54.64767012827046,-5.667600537033138
1185,3422407,it+pronominal_object,show,us,,ya,beaver,,52.37087800000001,-1.265032
1186,6498672,it+pronominal_object,drive,him,to,you,tomorrow,prepositional_dative,52.907932,-2.144045
1187,3923194,it+pronominal_object,get,them,,you,a,,55.858302128951905,-4.241751039861819
1188,5710061,it+pronominal_object,showing,me,,her,various,,52.1872472,0.9707801
1189,5098005,it+pronominal_object,sent,them,to,me,and,prepositional_dative,53.40837140000001,-2.9915726
1190,2118848,it+pronominal_object,got,me,,you,muppet,,52.90355200000001,-2.483485
1191,5805872,it+pronominal_object,teach,me,,you,ways,,53.4807593,-2.2426305
1192,6548310,it+pronominal_object,show,them,,you,,,55.864237,-4.251806
1193,4162426,it+pronominal_object,dm,me,,you,number,,53.8007554,-1.5490774
1194,4331198,it+pronominal_object,hold,him,,you,punch,,53.368393155465526,-2.740722063765359
1195,6451499,it+pronominal_object,deliver,them,to,you,on,prepositional_dative,51.454513,-2.58791
1196,781394,it+pronominal_object,sell,them,to,me,because,prepositional_dative,50.82253,-0.137163
1197,410728,it+pronominal_object,show,them,,you,love,,53.40837140000001,-2.9915726
1198,4638819,it+pronominal_object,pass,them,to,you,next,prepositional_dative,54.89370079999999,-2.9340058
1199,6507610,it+pronominal_object,post,them,to,you,you,prepositional_dative,51.23622,-0.570409
1200,4906261,it+pronominal_object,lead,me,to,them,them,prepositional_dative,51.89404267873312,-0.51754908837784
1201,2114607,it+pronominal_object,give,me,,them,louie,,53.342078,-2.729673
1202,5632781,it+pronominal_object,compare,us,to,them,teams,prepositional_dative,51.752279179989,-0.467569089568785
1203,5776135,it+pronominal_object,dm,them,to,you,now,prepositional_dative,53.90604162876235,-6.395642536148323
1204,1720909,it+pronominal_object,get,me,,them,�,,56.47695163274154,-2.955044544937377
1205,4850547,it+pronominal_object,show,me,,ya,bits,,53.645708,-3.010113
1206,4795427,it+pronominal_object,show,me,,you,,,51.5073509,-0.12775830000000002
1207,4795427,it+pronominal_object,show,me,,you,,,51.5073509,-0.12775830000000002
1208,1589185,it+pronominal_object,sent,them,to,you,you,prepositional_dative,53.801955659532176,-1.565489569728704
1209,6331868,it+pronominal_object,give,him,to,me,😍😭,prepositional_dative,51.454513,-2.58791
1210,1793546,it+pronominal_object,send,me,,them,on,,53.68619515862628,-1.850908568332894
1211,4674517,it+pronominal_object,give,you,,them,on,,51.45165618360951,-0.193719093375096
1212,4732505,it+pronominal_object,send,them,to,you,or,prepositional_dative,53.7018191596294,-1.664671569583901
1213,3922877,it+pronominal_object,show,me,,ya,tits,,53.423567153225406,-3.04667356129869
1214,3576623,it+pronominal_object,give,me,,him,🤤🤤,,52.486243,-1.890401
1215,6306208,it+pronominal_object,give,them,to,me,me,prepositional_dative,51.4519021,0.1171786
1216,216053,it+pronominal_object,give,me,,her,number,,51.5073509,-0.12775830000000002
1217,919200,it+pronominal_object,send,you,,me,flute,,53.34980529999999,-6.260309700000001
1218,5847878,it+pronominal_object,show,us,,you,love,,50.8197675,-1.0879769
1219,5847878,it+pronominal_object,show,us,,you,love,,51.068785,-1.794472
1220,5023729,it+pronominal_object,show,them,,you,love,,53.795984,-1.759398
1221,702949,it+pronominal_object,show,me,,them,fucking,,52.63687779999999,-1.1397592
1222,477937,it+pronominal_object,give,us,,him,,,53.279812,-2.897404
1223,4983231,it+pronominal_object,give,them,,you,asap,,51.7520209,-1.2577263
1224,3399919,it+pronominal_object,bring,them,to,me,me,prepositional_dative,54.52361,-1.559458
1225,308634,it+pronominal_object,send,us,,you,#southwarkpark,,51.5073509,-0.12775830000000002
1226,5388270,it+pronominal_object,recommend,them,to,you,seeing,prepositional_dative,53.4807593,-2.2426305
1227,1289676,it+pronominal_object,handing,us,,her,smashed,,51.5123443,-0.0909852
1228,5159308,it+pronominal_object,show,me,,them,big,,55.24677112936115,-4.845434039211909
1229,1115343,it+pronominal_object,send,her,to,me,me,prepositional_dative,53.35088015681306,-2.5378140653046204
1230,5888141,it+pronominal_object,send,u,,them,😉,,53.230688,-0.540579
1231,3045850,it+pronominal_object,send,them,to,me,instead,prepositional_dative,51.46337172633429,-0.034489677078138
1232,4776398,it+pronominal_object,send,me,,ya,,,51.5073509,-0.12775830000000002
1233,761526,it+pronominal_object,put,me,,us,#boro,,54.047795150068474,-2.856345059178198
1234,2060894,it+pronominal_object,emailed,them,to,you,you,prepositional_dative,55.9493383,-2.7704464
1235,2060894,it+pronominal_object,emailed,them,to,you,you,prepositional_dative,55.9493383,-2.7704464
1236,179938,it+pronominal_object,give,me,,you,answer,,53.27066800000001,-9.0567905
1237,2606003,it+pronominal_object,get,me,,them,versace,,53.381129,-1.470085
1238,1707542,it+pronominal_object,bring,him,to,me,me,prepositional_dative,53.4807593,-2.2426305
1239,5223456,it+pronominal_object,show,me,,them,crying,,51.903761,-0.196612
1240,1789295,it+pronominal_object,show,us,,her,legs,,55.864237,-4.251806
1241,1692522,it+pronominal_object,give,me,,them,yum,,50.83133918671886,-0.390040595428803
1242,1368349,it+pronominal_object,dm,them,to,me,me,prepositional_dative,51.48815336224407,-0.08627369273609402
1243,6444901,it+pronominal_object,offer,you,,her,cookies,,51.5073509,-0.12775830000000002
1244,6444901,it+pronominal_object,offer,you,,her,cookies,,51.5073509,-0.12775830000000002
1245,6444901,it+pronominal_object,offer,you,,her,cookies,,53.34980529999999,-6.260309700000001
1246,6444901,it+pronominal_object,offer,you,,her,cookies,,51.4414579,-0.0117006
1247,977723,it+pronominal_object,show,us,,you,weekend,,51.54212017310393,-1.898204580046951
1248,2365641,it+pronominal_object,shown,me,,you,of,,53.383164163093134,-1.449611572954178
1249,4506174,it+pronominal_object,copied,me,,u,slag,,53.40837140000001,-2.9915726
1250,6271174,it+pronominal_object,dm,me,,you,lil,,53.4807593,-2.2426305
1251,2517744,it+pronominal_object,pass,them,to,us,or,prepositional_dative,51.62144,-3.943646
1252,4739658,it+pronominal_object,give,him,to,me,now,prepositional_dative,51.1536762880937,-0.10830008974854
1253,3509000,it+pronominal_object,give,him,to,us,we,prepositional_dative,51.454513,-2.58791
1254,2456146,it+pronominal_object,order,you,,ya,fucking,,55.838112,-4.554189
1255,732223,it+pronominal_object,teach,me,,you,shit,,51.64574365951452,-4.040337063921013
1256,2246850,it+pronominal_object,show,us,,ya,batty,,53.456952157913115,-2.233479566883483
1257,153332,it+pronominal_object,send,them,to,us,in,prepositional_dative,52.64148268384246,1.2730819023563922
1258,886389,it+pronominal_object,send,me,,them,moth,,53.763201,-2.70309
1259,4180744,it+pronominal_object,give,them,to,me,young,prepositional_dative,52.95478320000001,-1.1581086
1260,4180744,it+pronominal_object,give,them,to,me,young,prepositional_dative,53.10031899999999,-0.9936306
1261,4888377,it+pronominal_object,leaving,us,,you,have,,51.4607341,-0.1183845
1262,5952945,it+pronominal_object,defend,them,,you,skinny,,53.7676236,-0.3274198
1263,720483,it+pronominal_object,give,me,,them,,,51.55633,0.0655092
1264,4688082,it+pronominal_object,leading,me,to,you,you,prepositional_dative,53.34980529999999,-6.260309700000001
1265,5857772,it+pronominal_object,get,me,to,them,daft,prepositional_dative,53.5434536547857,-2.653237563412284
1266,6332278,it+pronominal_object,gift,you,,them,if,,53.41987815404958,-2.915426562244173
1267,1411705,it+pronominal_object,get,him,,her,to,,50.79894368916539,0.001527901377748
