index,userid,Unnamed: 0,variant,main_verb,determiner,noun,gerund,participle,latitude,longitude
71,3178201,36756,Y needs X Ved,want,the,books,,sent,51.481581,-3.17909
72,3595332,9063,Y needs X Ving,wants,the,perfect,ending,,51.5073509,-0.12775830000000002
73,3532368,16523,Y needs X to be Ved,wants,the,senedd,,abolished,51.62144,-3.943646
74,5579657,43468,Y needs X Ving,need,the,photo,sending,,55.91087262742693,-4.425149038383792
75,4057822,74982,Y needs X Ved,want,the,problem,,solved,51.5073509,-0.12775830000000002
76,5139903,68034,Y needs X to be Ved,need,the,right,,forgotten,51.5073509,-0.12775830000000002
77,1938631,75789,Y needs X to be Ved,need,the,box/charger,,traded,53.39330860000001,-2.1266343
78,1465410,8362,Y needs X Ved,want,the,same,,pointed,52.4750743,-1.8298330000000005
79,4240421,24551,Y needs X Ved,want,the,games,,played,55.793335,-4.867278
80,875847,46188,Y needs X Ving,want,the,elections,turning,,52.40443565445794,-4.001616560131069
81,647669,91631,Y needs X Ved,need,the,driveway,,done,52.09231267010002,-1.7651225779485682
82,647669,91563,Y needs X Ved,need,the,driveway,,done,52.09231267010002,-1.7651225779485682
83,3359520,90288,Y needs X Ving,want,the,difference,refunding,,53.4694578325834,-2.4422224917618607
84,6231624,60268,Y needs X Ving,needs,the,extra,training,,54.52361,-1.559458
85,5374007,74212,Y needs X Ving,needs,the,front,dropping,,51.895927,0.891874
86,5495315,100932,Y needs X Ved,want,the,issues,,sorted,51.277283,-0.8426549999999999
87,5495315,100932,Y needs X Ved,want,the,issues,,sorted,51.277283,-0.8426549999999999
88,1486300,109599,Y needs X Ved,need,the,game,,moved,52.76064315547118,-3.432186062214794
89,1641994,41129,Y needs X Ved,want,the,league,,wrapped,55.864237,-4.251806
90,4050289,64164,Y needs X Ving,wants,the,obvious,stating,,53.230688,-0.540579
91,5535740,101447,Y needs X Ved,wants,the,manager,,sacked,53.192565,-2.443833
92,3906795,5423,Y needs X Ving,need,the,triffids,removing,,52.22045018239496,0.5115784057048179
93,4143916,56650,Y needs X Ving,want,the,proper,ending,,55.953156168007105,-3.202097617541828
94,5642703,20616,Y needs X to be Ved,want,the,backstop,,used,53.34980529999999,-6.260309700000001
95,6314183,51891,Y needs X Ving,want,the,delivery,sending,,53.871098,-2.3930830000000003
96,6114878,14008,Y needs X Ved,want,the,future,,decided,51.454513,-2.58791
97,6114878,14365,Y needs X Ved,want,the,future,,decided,51.454513,-2.58791
98,79863,56144,Y needs X Ved,need,the,walls,,painted,52.572020684691246,1.34069340142437
99,6509805,37285,Y needs X Ved,want,the,boys,,done,51.5390261,-0.1425516
100,4044062,57500,Y needs X Ving,deserves,the,food,displaying,,53.383164163093134,-1.449611572954178
101,4936995,24242,Y needs X Ving,need,the,brows,doing,,54.785809652829634,-1.5585540641543438
102,2768681,1976,Y needs X Ved,want,the,price,,hidden,51.5073509,-0.12775830000000002
103,2134207,7544,Y needs X to be Ved,want,the,conversation,,hidden,51.506494683598575,-0.127278093497631
104,2527013,59292,Y needs X Ved,want,the,money,,refunded,50.8518324,-0.9847132
105,992204,50729,Y needs X Ving,need,the,heads,looking,,54.9175306526703,-1.434403064279454
106,4321404,63623,Y needs X Ved,want,the,missions,,done,53.2810955,-6.4345836
107,5519242,76180,Y needs X to be Ved,want,the,bremoaners,,deported,54.046575,-2.8007399
108,339202,20637,Y needs X Ving,needs,the,full,backing,,53.795984,-1.759398
109,5756781,56361,Y needs X Ved,want,the,rsch,,turned,50.82253,-0.137163
110,604150,45046,Y needs X to be Ved,want,the,employees,,motivated,53.4807593,-2.2426305
111,651474,51605,Y needs X Ving,needs,the,financial,backing,,52.63687779999999,-1.1397592
112,5537981,67150,Y needs X Ved,want,the,photo,,removed,53.4875235,-2.2901264
113,1918588,48938,Y needs X Ving,need,the,medical,training,,51.5073509,-0.12775830000000002
114,1062939,53590,Y needs X Ving,wants,the,law,changing,,52.486243,-1.890401
115,2550376,108508,Y needs X Ving,need,the,bodywork,looking,,53.6267995333058,-1.416688400329576
116,874886,8098,Y needs X Ving,deserved,the,win,playing,,51.443845685516976,0.13187040409183598
117,874886,8119,Y needs X Ving,deserved,the,win,playing,,51.443845685516976,0.13187040409183598
118,3465439,15537,Y needs X to be Ved,want,the,@bbc,,funded,51.5073509,-0.12775830000000002
119,5583967,72357,Y needs X Ving,need,the,political,backing,,51.5073509,-0.12775830000000002
120,6370019,92695,Y needs X to be Ved,wants,the,pitch,,cleared,52.2052973,0.1218195
121,6370019,92697,Y needs X to be Ved,wants,the,lines,,cleared,52.2052973,0.1218195
122,5106494,12875,Y needs X Ved,want,the,person,,attached,51.507963,-0.1242718
123,1354004,88770,Y needs X Ving,want,the,eu,controlling,,50.6938479,-1.304734
124,1354004,88770,Y needs X Ving,want,the,eu,controlling,,50.700803,-1.291633
125,1354004,76178,Y needs X Ving,want,the,eu,controlling,,50.6938479,-1.304734
126,1354004,76178,Y needs X Ving,want,the,eu,controlling,,50.700803,-1.291633
127,5722492,60696,Y needs X Ving,want,the,job,doing,,54.89370079999999,-2.9340058
128,611004,74118,Y needs X Ving,want,the,latest,training,,51.48762720000001,-0.2671732
129,5588285,58615,Y needs X Ved,want,the,package,,delivered,55.01766878816004,-2.142216497345552
130,3893284,87166,Y needs X Ving,need,the,bow,turning,,51.3314222,0.5258093
131,609622,48253,Y needs X Ved,wanted,the,game,,played,52.1872472,0.9707801
132,6149205,105559,Y needs X Ving,want,the,final,humiliating,,51.44051418303791,-0.30699559257628
133,756197,60381,Y needs X Ved,want,the,game,,called,50.9097004,-1.4043508999999998
134,4107598,104405,Y needs X Ving,need,the,muslims,sending,,53.81750529999999,-3.0356748
135,4107598,104415,Y needs X Ving,need,the,muslims,sending,,53.81750529999999,-3.0356748
136,1674960,124803,Y needs X Ved,wants,the,border,,monitored,51.5073509,-0.12775830000000002
137,2080511,129585,Y needs X Ved,needs,the,ball,,played,51.546926183442935,-0.109181093471064
138,1777764,7774,Y needs X Ved,need,the,job,,done,51.5073509,-0.12775830000000002
139,2343812,63354,Y needs X Ving,need,the,bathroom,finishing,,53.381129,-1.470085
140,6156574,102313,Y needs X to be Ved,deserves,the,kids,,taken,51.62144,-3.943646
141,322525,28987,Y needs X Ving,deserves,the,most,loving,,52.2729944,-0.8755514999999999
142,2132601,43734,Y needs X to be Ved,need,the,post,,delivered,51.7520209,-1.2577263
143,769786,4512,Y needs X Ving,needs,the,most,looking,,53.456952157913115,-2.233479566883483
144,3462598,38071,Y needs X to be Ved,deserves,the,kids,,turned,51.4097742,-0.2108084
145,4767568,42538,Y needs X Ving,want,the,good,looking,,52.9225301,-1.4746186
146,4767568,43270,Y needs X Ving,want,the,good,looking,,52.9225301,-1.4746186
147,826418,109898,Y needs X Ving,want,the,clip,playing,,54.57063829999999,-1.2352416000000002
148,1557602,60643,Y needs X Ving,want,the,facilitator,questioning,,51.50378618328007,-0.189189593109732
149,6486838,44549,Y needs X Ving,want,the,bloody,booking,,51.48944083342799,-0.148975003448029
150,3713175,121587,Y needs X Ving,needed,the,right,coaching,,52.9155296661778,-1.470778075459931
151,3713175,121723,Y needs X Ving,needed,the,right,coaching,,52.9155296661778,-1.470778075459931
152,3811197,55721,Y needs X to be Ved,want,the,#royalbaby3,,named,53.383164163093134,-1.449611572954178
153,2727865,30257,Y needs X Ving,want,the,law,applying,,55.864237,-4.251806
154,2558374,83365,Y needs X Ved,need,the,charger,,replaced,51.319664,-2.208853
155,1331674,12263,Y needs X Ving,want,the,terrorist,supporting,,52.335589,-2.061906
156,1331674,14787,Y needs X Ved,wanted,the,sample,,handed,52.335589,-2.061906
157,3898246,118996,Y needs X Ving,need,the,bill:,protecting,,52.95478320000001,-1.1581086
158,5459028,6347,Y needs X Ving,need,the,day,filming,,53.8007554,-1.5490774
159,5459028,6347,Y needs X Ving,need,the,day,filming,,51.5180626,-0.1168289
160,2688609,102393,Y needs X to be Ved,needs,the,game,,moved,52.49396616659272,-1.890640074770749
161,2298198,6908,Y needs X to be Ved,deserves,the,right,,treated,52.4750743,-1.8298330000000005
162,6446505,106405,Y needs X Ved,want,the,job,,done,52.240477,-0.902656
163,6597961,40012,Y needs X Ving,need,the,electrics,finishing,,53.2326344,-2.6103158
164,2934322,41048,Y needs X Ving,need,the,piss,slapping,,54.90686899999999,-1.383801
165,875784,106656,Y needs X to be Ved,deserve,the,best,,used,53.475303157088796,-2.349566065951336
166,4944736,93495,Y needs X to be Ved,want,the,chance,,included,51.5073509,-0.12775830000000002
167,3495184,7976,Y needs X Ving,want,the,incels,using,,55.864237,-4.251806
168,3002392,22053,Y needs X Ved,want,the,sheets,,changed,51.5073509,-0.12775830000000002
169,4200008,53890,Y needs X to be Ved,wanted,the,game,,called,51.362149691684074,1.1290528959204609
170,2514383,80043,Y needs X Ving,needs,the,gospel,adapting,,52.411811,-1.77761
171,4489120,105291,Y needs X Ving,needs,the,brightness,removing,,51.5073509,-0.12775830000000002
172,6547313,19502,Y needs X Ved,needs,the,awareness,,raised,57.149717,-2.094278
173,439023,27673,Y needs X Ving,need,the,fitness,training,,53.193392,-2.893075
174,2428657,53155,Y needs X to be Ved,needs,the,train,,fixed,52.240477,-0.902656
175,5615221,72795,Y needs X Ving,need,the,laws,applying,,51.903761,-0.196612
176,2507863,21039,Y needs X Ving,need,the,piss,washing,,51.454513,-2.58791
177,3359128,39919,Y needs X Ved,wanted,the,job,,done,51.5148301840845,-0.035019094221937004
178,4428400,75939,Y needs X Ving,want,the,picture,using,,52.83755116750499,-1.336391076888498
179,3289642,85833,Y needs X Ved,want,the,vilers,,promoted,52.056398,-2.715974
180,3864458,48465,Y needs X Ving,needed,the,ears,cleaning,,51.45252367906998,-0.9820300873965708
181,6589072,16041,Y needs X Ved,need,the,names,,changed,55.834733123995505,-5.045600034795871
182,134719,16424,Y needs X Ved,want,the,haircut,,advertised,51.8642112,-2.2380335
183,4018882,31623,Y needs X Ved,want,the,rats,,armed,55.953252,-3.188267
184,4018882,31596,Y needs X Ved,want,the,lassie,,sacked,55.953252,-3.188267
185,5384048,37091,Y needs X Ving,want,the,customers,eating,,55.864237,-4.251806
186,5507093,86252,Y needs X Ving,wants,the,feral,raping,,51.395762187785046,0.474782401179255
187,2003572,66680,Y needs X Ving,want,the,accounts,sending,,52.9451889,-0.1601246
188,2003572,66680,Y needs X Ving,want,the,accounts,sending,,53.0003079,-0.40965
189,1477905,40592,Y needs X Ved,want,the,momentum,,achieved,50.2660471,-5.0527125
190,1477905,40592,Y needs X Ved,want,the,momentum,,achieved,51.7159269,-1.9711737
191,2400559,78772,Y needs X Ved,need,the,dlc,,added,50.82253,-0.137163
192,3945752,3164,Y needs X to be Ved,need,the,@midlandmetro,,extended,52.84708966173086,-2.2981335698335514
193,4472731,23552,Y needs X to be Ved,wanted,the,band,,called,52.566226111127435,-2.050603248258301
194,2635530,62698,Y needs X Ved,needs,the,nappy,,changed,55.900708,-3.518068
195,5861181,88868,Y needs X Ving,deserve,the,fans,celebrating,,51.3624409,-0.858333
196,1532238,40301,Y needs X Ving,need,the,line,connecting,,54.06800465042361,-2.775131059633978
197,3899977,28325,Y needs X Ved,need,the,order,,confirmed,53.064403158933274,-2.514257067068645
198,2003118,40362,Y needs X Ved,want,the,announcements,,done,51.90215867679018,-0.157975252741054
199,2003118,40044,Y needs X Ved,want,the,photo,,taken,51.90215867679018,-0.157975252741054
200,1307392,94816,Y needs X Ving,deserves,the,sack,shocking,,55.956476,-4.771983000000001
201,2664258,90844,Y needs X Ved,want,the,cunt,,sacked,53.00266800000001,-2.179404
202,1391118,97499,Y needs X Ving,needs,the,walls,painting,,51.57888666494119,-3.224692570131378
203,4387089,3867,Y needs X Ved,want,the,show,,cancelled,56.643558,-2.889062
204,6000664,132743,Y needs X Ved,deserve,the,money,,taken,54.8591161,-1.5740888000000002
205,2999676,58258,Y needs X Ving,need,the,trousers,taking,,53.07003910000001,-0.80657
206,5939909,52285,Y needs X Ving,need,the,performance,filming,,53.7632254,-2.7044052000000014
207,5939909,52208,Y needs X Ving,need,the,performance,filming,,53.7632254,-2.7044052000000014
208,1092110,4325,Y needs X Ving,needs,the,full,backing,,52.85897361811697,-9.110049024189893
209,209691,94493,Y needs X to be Ved,need,the,above,,released,51.7520209,-1.2577263
210,544538,80583,Y needs X Ving,deserve,the,last,ending,,50.98893,-1.49658
211,4849401,98163,Y needs X Ved,needs,the,money,,spent,51.5073509,-0.12775830000000002
212,2835548,27497,Y needs X Ving,want,the,serum,replacing,,54.57707565686802,-1.120204568486189
213,3416298,69365,Y needs X Ving,want,the,queen,seeing,,54.97825200000001,-1.61778
214,5481540,8256,Y needs X Ving,want,the,heater,installing,,52.586973,-2.12882
215,3435663,69320,Y needs X Ving,want,the,commoners,seeing,,51.5073509,-0.12775830000000002
216,2215852,44046,Y needs X Ving,want,the,barca,training,,52.49396616659272,-1.890640074770749
217,3252355,29402,Y needs X Ving,want,the,money,spending,,52.63687779999999,-1.1397592
218,4136356,92225,Y needs X to be Ved,want,the,chance,,featured,51.280233,1.0789089
219,6541526,96702,Y needs X Ving,need,the,majority,doing,,52.193636,-2.221575
220,961983,33444,Y needs X Ving,need,the,pie,loving,,50.81787,-0.372882
221,2730631,34664,Y needs X to be Ved,want,the,#sugartax,,scrapped,51.41233,-0.300689
222,2456428,82454,Y needs X Ved,wants,the,heat,,created,52.033566676355115,-0.764063085724308
223,3223841,3737,Y needs X Ved,need,the,hay,,stored,57.73945361627269,-4.20044052988233
224,1628695,8462,Y needs X Ved,wanted,the,standard,,ruled,55.953252,-3.188267
225,5043249,54256,Y needs X Ved,deserve,the,money,,spent,51.5073509,-0.12775830000000002
226,5043249,54256,Y needs X Ved,deserve,the,money,,spent,51.3810641,-2.3590167
227,2116360,8720,Y needs X Ved,want,the,game,,played,53.389991,-3.023009
228,625024,42617,Y needs X Ving,want,the,government,controlling,,54.9279025,-1.6156701999999998
229,2870381,57674,Y needs X Ving,want,the,odds,changing,,55.94319513486961,-3.203008046263737
230,6287113,43518,Y needs X Ved,deserved,the,street,,named,55.847258,-4.440114
231,5150271,48855,Y needs X Ving,want,the,issue,solving,,54.236107,-4.548056
232,540834,13646,Y needs X to be Ved,want,the,tories,,humiliated,53.41987815404958,-2.915426562244173
233,540834,13647,Y needs X to be Ved,want,the,tories,,humiliated,53.41987815404958,-2.915426562244173
234,2982074,14892,Y needs X Ving,want,the,army,looking,,55.868285627865326,-4.4024880387608425
235,2513079,661,Y needs X Ved,want,the,currency,,destroyed,51.573445,-0.0724376
236,1452943,88951,Y needs X Ving,want,the,park,looking,,51.5073509,-0.12775830000000002
237,3389833,88070,Y needs X Ved,wants,the,most,,hated,51.280233,1.0789089
238,3389833,88300,Y needs X Ved,wants,the,most,,hated,51.280233,1.0789089
239,485524,104759,Y needs X Ving,deserve,the,most,smashing,,51.5073509,-0.12775830000000002
240,2673409,39391,Y needs X Ved,want,the,all,,sent,57.160555633167256,-2.1270400466003827
241,2458987,89133,Y needs X Ving,want,the,chairman,signing,,52.48139200000001,-1.468869
242,2268951,27485,Y needs X to be Ved,want,the,final,,filmed,53.41987815404958,-2.915426562244173
243,2268951,27692,Y needs X to be Ved,want,the,final,,filmed,53.41987815404958,-2.915426562244173
244,400011,4239,Y needs X Ving,want,the,professional,printing,,52.466004563556154,-1.14487244341663
245,148716,47407,Y needs X Ving,need,the,defence,sorting,,51.361897184290534,-0.181587093983755
246,2709390,63019,Y needs X to be Ved,want,the,update,,done,51.5073509,-0.12775830000000002
247,436829,7242,Y needs X Ving,want,the,job,doing,,52.95478320000001,-1.1581086
248,4859831,44057,Y needs X Ved,want,the,brexit,,done,53.35924566521571,-1.11766357551221
249,1713268,84939,Y needs X Ving,need,the,receipt,confirming,,54.97825200000001,-1.61778
250,6180400,144909,Y needs X Ving,want,the,never,ending,,55.953252,-3.188267
251,4707994,87323,Y needs X Ving,need,the,supportive,seating,,54.32800600000001,-2.74629
252,2468645,30373,Y needs X Ving,need,the,loo,fixing,,53.479030657688725,-2.2455095666735487
253,2468645,30372,Y needs X Ving,need,the,loo,fixing,,53.479030657688725,-2.2455095666735487
254,1368983,55429,Y needs X Ving,need,the,issue,resolving,,53.448441727686436,-1.3181630616074955
255,6339834,48927,Y needs X to be Ved,wanted,the,dogs,,surprised,52.4750743,-1.8298330000000005
256,4499110,97851,Y needs X Ving,need,the,soppy,ending,,51.43588716616869,-3.1858420711904163
257,3663559,63164,Y needs X Ved,want,the,sofa,,delivered,52.6308859,1.297355
258,1316646,93524,Y needs X Ving,wants,the,holes,plugging,,53.8007554,-1.5490774
259,802858,49646,Y needs X Ved,need,the,trials,,explained,51.454513,-2.58791
260,5749372,16403,Y needs X Ved,want,the,environment,,saved,51.5073509,-0.12775830000000002
261,4402989,58334,Y needs X Ving,want,the,neighbours,seeing,,51.5073509,-0.12775830000000002
262,1269897,60425,Y needs X Ved,wanted,the,paper,,delivered,52.586973,-2.12882
263,107312,77132,Y needs X Ving,want,the,garden,looking,,53.8007554,-1.5490774
264,3715290,110422,Y needs X to be Ved,want,the,growers,,valued,54.27512816307191,-0.416379075343428
265,4754140,14883,Y needs X Ving,need,the,office,looking,,52.1872472,0.9707801
266,55553,74914,Y needs X Ving,want,the,nursery,finishing,,53.3976041,-2.9436644
267,2523813,108621,Y needs X Ving,deserve,the,contract,taking,,52.486243,-1.890401
268,5002559,5070,Y needs X Ving,deserve,the,name,calling,,53.381129,-1.470085
269,2062571,8892,Y needs X Ved,wanted,the,finger,,pointed,51.57888666494119,-3.224692570131378
270,1975845,1781,Y needs X Ving,needs,the,tracks,sorting,,53.04687666567353,-1.4034395752058455
271,571972,63760,Y needs X Ving,needs,the,remain,supporting,,51.4669939,-1.1853677
272,5964522,52621,Y needs X Ving,wants,the,age,lowering,,53.48380600000001,-2.0500759
273,5171071,114580,Y needs X to be Ved,want,the,game,,closed,50.8197675,-1.0879769
274,5171071,115019,Y needs X to be Ved,want,the,ceremony,,respected,50.8197675,-1.0879769
275,3087607,132522,Y needs X to be Ved,want,the,refs,,armed,51.66162118172113,-0.273582091559757
276,1380847,21886,Y needs X Ved,want,the,railways,,controlled,53.09623365544608,-3.054293063048477
277,6328562,93903,Y needs X Ving,needed,the,work,doing,,50.718412,-3.533899
278,2266685,124554,Y needs X Ved,want,the,backstop,,killed,52.2545225,-2.2668382
279,6161289,56182,Y needs X Ved,wanted,the,panoramic,,taken,53.8007554,-1.5490774
280,1225033,99235,Y needs X Ving,want,the,fairytale,ending,,55.012152639776,-3.4468680497761937
281,4915828,4271,Y needs X to be Ved,want,the,game,,played,50.81846710000001,-0.1203367
282,6217045,33504,Y needs X to be Ved,wants,the,clp,,removed,53.19734915571409,-2.894882063619811
283,6223648,51811,Y needs X to be Ved,want,the,vote,,removed,51.53187016431185,-3.382911069243583
284,6455154,115608,Y needs X to be Ved,want,the,phone,,answered,52.95478320000001,-1.1581086
285,642619,72875,Y needs X Ved,wanted,the,name,,changed,51.5459269,0.7077123000000001
286,642619,72888,Y needs X Ved,wanted,the,name,,changed,51.5459269,0.7077123000000001
287,388808,3747,Y needs X Ved,deserve,the,well,,earned,51.5463526,-0.1087543
288,5358386,68454,Y needs X to be Ved,need,the,dvd,,released,50.99750666473128,-3.927118568193401
289,5358386,68469,Y needs X to be Ved,need,the,dvd,,released,50.99750666473128,-3.927118568193401
290,3966539,93853,Y needs X to be Ved,want,the,school,,sued,51.547598566482684,0.024995064446652
291,40250,85258,Y needs X Ved,want,the,job,,done,51.50378618328007,-0.189189593109732
292,2722854,69779,Y needs X Ved,deserve,the,time,,needed,55.858302128951905,-4.241751039861819
293,392317,80576,Y needs X Ved,need,the,news,,delivered,50.82253,-0.137163
294,5746804,80018,Y needs X to be Ved,want,the,doors,,locked,51.5073509,-0.12775830000000002
295,215306,65978,Y needs X Ved,want,the,truth,,hidden,53.092117659087506,-2.456814067325582
296,1496077,94328,Y needs X Ving,need,the,gullies,cleaning,,51.37964917145402,-2.366932577486203
297,3770838,132676,Y needs X Ving,need,the,same,spending,,51.43588716616869,-3.1858420711904163
298,4197016,144636,Y needs X Ved,need,the,windows,,closed,51.4571477,-0.1230681
299,1135858,30574,Y needs X Ving,want,the,board,addressing,,52.592257664633294,-2.106407072646853
300,2729255,44305,Y needs X Ving,need,the,name,dropping,,51.481581,-3.17909
301,3349921,89377,Y needs X Ved,need,the,tables,,turned,52.46845066175045,-2.730734568819604
302,4146308,97290,Y needs X Ving,need,the,original,sending,,54.95268000000001,-1.603411
303,549001,59375,Y needs X Ving,wanted,the,machine,moving,,54.53577765457034,-1.5538280656204149
304,4900484,62304,Y needs X Ving,want,the,eu,representing,,52.62626317016146,-1.130669579608375
305,2693039,74160,Y needs X Ving,want,the,bins,emptying,,52.486243,-1.890401
306,3218506,9054,Y needs X to be Ved,want,the,league,,extended,56.46201800000001,-2.970721
307,2211693,90638,Y needs X Ving,want,the,leaflets,dropping,,52.041047,0.7267060000000001
308,2614152,84677,Y needs X Ved,needs,the,whip,,removed,55.04009064992346,-1.752790061325286
309,2614152,84678,Y needs X Ved,deserve,the,whip,,removed,55.04009064992346,-1.752790061325286
310,1913775,61278,Y needs X Ving,want,the,atmosphere,taking,,53.30227900000001,-1.467959
311,763891,16255,Y needs X Ving,need,the,laundry,doing,,53.324061,-3.827609
312,763891,16255,Y needs X Ving,need,the,laundry,doing,,53.282872,-3.82948
